image_id,fold,tissue_type,classes_present,instruction,original_index
pannuke_f1_0054,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"The tissue shows neoplastic, inflammatory and connective soft tissue. Mark the areas.",54
pannuke_f1_0055,1,Breast,Neoplastic;Connective_Soft_tissue,Where are neoplastic and connective soft tissue cells visible?,55
pannuke_f1_0056,1,Breast,Neoplastic;Connective_Soft_tissue,"Looking at this tissue section, identify neoplastic and connective soft tissue.",56
pannuke_f1_0057,1,Breast,Inflammatory;Connective_Soft_tissue,Delineate the inflammatory and connective soft tissue tissue.,57
pannuke_f1_0058,1,Breast,Connective_Soft_tissue;Epithelial,Pinpoint the connective soft tissue and epithelial tissue.,58
pannuke_f1_0059,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"inflammatory, connective soft tissue and epithelial can be seen. Identify and segment.",59
pannuke_f1_0060,1,Breast,Connective_Soft_tissue;Epithelial,Develop a precise map of connective soft tissue and epithelial distribution.,60
pannuke_f1_0061,1,Breast,Epithelial,Segment epithelial in the Breast section.,61
pannuke_f1_0062,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Identify only inflammatory, connective soft tissue and epithelial cells.",62
pannuke_f1_0063,1,Breast,Connective_Soft_tissue;Epithelial,Please show connective soft tissue and epithelial regions.,63
pannuke_f1_0064,1,Breast,Epithelial,Develop a precise map of epithelial distribution.,64
pannuke_f1_0065,1,Breast,Connective_Soft_tissue;Epithelial,Highlight present connective soft tissue and epithelial areas.,65
pannuke_f1_0066,1,Breast,Connective_Soft_tissue;Epithelial,Generate mask for connective soft tissue and epithelial.,66
pannuke_f1_0067,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Review this Breast slide and identify inflammatory, connective soft tissue and epithelial.",67
pannuke_f1_0068,1,Breast,Connective_Soft_tissue;Epithelial,Examine this Breast tissue for connective soft tissue and epithelial.,68
pannuke_f1_0069,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Where is the inflammatory, connective soft tissue and epithelial in this image?",69
pannuke_f1_0070,1,Breast,Connective_Soft_tissue;Epithelial,Carefully segment all connective soft tissue and epithelial regions visible in this histopathology image.,70
pannuke_f1_0071,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Segment the inflammatory, connective soft tissue and epithelial nuclei.",71
pannuke_f1_0072,1,Breast,Connective_Soft_tissue;Epithelial,Identify visible connective soft tissue and epithelial areas.,72
pannuke_f1_0073,1,Breast,Neoplastic;Connective_Soft_tissue,Mark neoplastic and connective soft tissue cytoplasmic features.,73
pannuke_f1_0074,1,Breast,Neoplastic;Connective_Soft_tissue,Accurately identify and mark all neoplastic and connective soft tissue areas present in the slide.,74
pannuke_f1_0075,1,Breast,Neoplastic;Connective_Soft_tissue,Note neoplastic and connective soft tissue presence in Breast tissue.,75
pannuke_f1_0076,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Segment any neoplastic, inflammatory and connective soft tissue present.",76
pannuke_f1_0077,1,Breast,Inflammatory;Connective_Soft_tissue,Segment the inflammatory and connective soft tissue in this tissue sample.,77
pannuke_f1_0078,1,Breast,Neoplastic;Connective_Soft_tissue,Segment microscopic neoplastic and connective soft tissue features.,78
pannuke_f1_0079,1,Breast,Inflammatory;Connective_Soft_tissue,"For Breast pathology, outline inflammatory and connective soft tissue.",79
pannuke_f1_0080,1,Breast,Inflammatory;Connective_Soft_tissue,Label the inflammatory and connective soft tissue regions.,80
pannuke_f1_0081,1,Breast,Neoplastic;Connective_Soft_tissue,Identify neoplastic and connective soft tissue including all visible instances.,81
pannuke_f1_0082,1,Breast,Neoplastic;Connective_Soft_tissue,Mark neoplastic and connective soft tissue in this Breast specimen.,82
pannuke_f1_0083,1,Breast,Connective_Soft_tissue;Epithelial,Review this Breast slide and identify connective soft tissue and epithelial.,83
pannuke_f1_0084,1,Breast,Connective_Soft_tissue;Epithelial,Segment connective soft tissue and epithelial for pathological assessment.,84
pannuke_f1_0085,1,Breast,Connective_Soft_tissue;Epithelial,Identify present connective soft tissue and epithelial regions.,85
pannuke_f1_0086,1,Breast,Inflammatory;Epithelial,Map all inflammatory and epithelial areas.,86
pannuke_f1_0087,1,Breast,Connective_Soft_tissue;Epithelial,Identify areas of connective soft tissue and epithelial concentration.,87
pannuke_f1_0088,1,Breast,Connective_Soft_tissue;Epithelial,Point out the connective soft tissue and epithelial regions.,88
pannuke_f1_0089,1,Breast,Connective_Soft_tissue;Epithelial,"From the Breast tissue, extract connective soft tissue and epithelial regions.",89
pannuke_f1_0090,1,Breast,Epithelial,Segment epithelial areas in this slide.,90
pannuke_f1_0091,1,Breast,Connective_Soft_tissue;Epithelial,"From this Breast slide, segment connective soft tissue and epithelial.",91
pannuke_f1_0092,1,Breast,Connective_Soft_tissue;Epithelial,Mark connective soft tissue and epithelial in this Breast specimen.,92
pannuke_f1_0093,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Mark visible neoplastic, inflammatory and connective soft tissue tissue.",93
pannuke_f1_0094,1,Breast,Neoplastic;Connective_Soft_tissue,"Within Breast tissue, annotate neoplastic and connective soft tissue.",94
pannuke_f1_0095,1,Breast,Neoplastic;Inflammatory,Mark visible neoplastic and inflammatory structures.,95
pannuke_f1_0096,1,Breast,Neoplastic;Connective_Soft_tissue,Delineate neoplastic and connective soft tissue morphological features.,96
pannuke_f1_0097,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Please segment neoplastic, inflammatory and connective soft tissue tissue.",97
pannuke_f1_0098,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Indicate the neoplastic, inflammatory and connective soft tissue tissue.",98
pannuke_f1_0099,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Provide a complete segmentation of neoplastic, inflammatory and connective soft tissue regions.",99
pannuke_f1_0100,1,Breast,Neoplastic;Connective_Soft_tissue,Locate visible neoplastic and connective soft tissue.,100
pannuke_f1_0101,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Isolate neoplastic, inflammatory and connective soft tissue cells.",101
pannuke_f1_0102,1,Breast,Neoplastic;Connective_Soft_tissue,Mark present neoplastic and connective soft tissue tissue.,102
pannuke_f1_0103,1,Breast,Connective_Soft_tissue;Epithelial,"In the Breast specimen, label connective soft tissue and epithelial.",103
pannuke_f1_0104,1,Breast,Connective_Soft_tissue;Epithelial,Please segment connective soft tissue and epithelial.,104
pannuke_f1_0105,1,Breast,Connective_Soft_tissue;Epithelial,Mark connective soft tissue and epithelial cells in this Breast sample.,105
pannuke_f1_0106,1,Breast,Connective_Soft_tissue;Epithelial,Segment present connective soft tissue and epithelial tissue.,106
pannuke_f1_0107,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Presented with this tissue, identify inflammatory, connective soft tissue and epithelial.",107
pannuke_f1_0108,1,Breast,Connective_Soft_tissue;Epithelial,Highlight visible connective soft tissue and epithelial cells.,108
pannuke_f1_0109,1,Breast,Connective_Soft_tissue;Epithelial,Extract connective soft tissue and epithelial cell boundaries.,109
pannuke_f1_0110,1,Breast,Connective_Soft_tissue;Epithelial,Outline connective soft tissue and epithelial cells.,110
pannuke_f1_0111,1,Breast,Connective_Soft_tissue;Epithelial,Produce segmentation of connective soft tissue and epithelial.,111
pannuke_f1_0112,1,Breast,Neoplastic;Connective_Soft_tissue,Segment neoplastic and connective soft tissue phenotypic features.,112
pannuke_f1_0113,1,Breast,Neoplastic;Connective_Soft_tissue,Accurately identify and mark all neoplastic and connective soft tissue areas present in the slide.,113
pannuke_f1_0114,1,Breast,Neoplastic;Connective_Soft_tissue,Scan for neoplastic and connective soft tissue cells.,114
pannuke_f1_0115,1,Breast,Neoplastic;Connective_Soft_tissue,Annotate all neoplastic and connective soft tissue areas.,115
pannuke_f1_0116,1,Breast,Neoplastic;Inflammatory,Identify neoplastic and inflammatory for diagnostic purposes.,116
pannuke_f1_0117,1,Breast,Inflammatory;Connective_Soft_tissue,This section has inflammatory and connective soft tissue. Locate and mark.,117
pannuke_f1_0118,1,Breast,Inflammatory;Connective_Soft_tissue,Delineate present inflammatory and connective soft tissue tissue.,118
pannuke_f1_0119,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Highlight visible neoplastic, inflammatory and connective soft tissue structures.",119
pannuke_f1_0120,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Highlight visible neoplastic, inflammatory and connective soft tissue cells.",120
pannuke_f1_0121,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Segment all neoplastic, inflammatory and connective soft tissue structures.",121
pannuke_f1_0122,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Record neoplastic, inflammatory and connective soft tissue regions in Breast.",122
pannuke_f1_0123,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Mark present inflammatory, connective soft tissue and epithelial tissue.",123
pannuke_f1_0124,1,Breast,Connective_Soft_tissue;Epithelial,Mark all connective soft tissue and epithelial cells.,124
pannuke_f1_0125,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Pinpoint visible inflammatory, connective soft tissue and epithelial.",125
pannuke_f1_0126,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Within Breast architecture, locate inflammatory, connective soft tissue and epithelial.",126
pannuke_f1_0127,1,Breast,Connective_Soft_tissue;Epithelial,Mark connective soft tissue and epithelial in this Breast specimen.,127
pannuke_f1_0128,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Find the inflammatory, connective soft tissue and epithelial regions.",128
pannuke_f1_0129,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Identify inflammatory, connective soft tissue and epithelial regions in the Breast.",129
pannuke_f1_0130,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"In Breast histology, delineate inflammatory, connective soft tissue and epithelial.",130
pannuke_f1_0131,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Delineate inflammatory, connective soft tissue and epithelial areas.",131
pannuke_f1_0132,1,Breast,Connective_Soft_tissue;Epithelial,Highlight present connective soft tissue and epithelial tissue.,132
pannuke_f1_0133,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Discern all inflammatory, connective soft tissue and epithelial areas.",133
pannuke_f1_0134,1,Breast,Connective_Soft_tissue;Epithelial,Segment the connective soft tissue and epithelial infiltration.,134
pannuke_f1_0135,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Locate inflammatory, connective soft tissue and epithelial in this slide.",135
pannuke_f1_0136,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Identify inflammatory, connective soft tissue and epithelial for diagnostic purposes.",136
pannuke_f1_0137,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Mark inflammatory, connective soft tissue and epithelial adjacent to epithelium.",137
pannuke_f1_0138,1,Breast,Connective_Soft_tissue;Epithelial,Discern visible connective soft tissue and epithelial.,138
pannuke_f1_0139,1,Breast,Connective_Soft_tissue;Epithelial,Locate and segment connective soft tissue and epithelial.,139
pannuke_f1_0140,1,Breast,Inflammatory;Connective_Soft_tissue,Segment boundaries of inflammatory and connective soft tissue.,140
pannuke_f1_0141,1,Breast,Neoplastic;Connective_Soft_tissue,Segment the neoplastic and connective soft tissue histological features.,141
pannuke_f1_0142,1,Breast,Neoplastic;Connective_Soft_tissue,Highlight neoplastic and connective soft tissue cellular characteristics.,142
pannuke_f1_0143,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Identify all neoplastic, inflammatory and connective soft tissue cells.",143
pannuke_f1_0144,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Identify neoplastic, inflammatory and connective soft tissue spatial arrangement.",144
pannuke_f1_0145,1,Breast,Neoplastic;Connective_Soft_tissue,Delineate present neoplastic and connective soft tissue structures.,145
pannuke_f1_0146,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Segment neoplastic, inflammatory and connective soft tissue for quantitative analysis.",146
pannuke_f1_0147,1,Breast,Neoplastic;Connective_Soft_tissue,Note neoplastic and connective soft tissue presence in Breast tissue.,147
pannuke_f1_0148,1,Breast,Connective_Soft_tissue;Epithelial,"Throughout the Breast tissue, mark connective soft tissue and epithelial.",148
pannuke_f1_0149,1,Breast,Epithelial,Mark epithelial cellular infiltration.,149
pannuke_f1_0150,1,Breast,Connective_Soft_tissue;Epithelial,Segment present connective soft tissue and epithelial structures.,150
pannuke_f1_0151,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"In the Breast microstructure, find inflammatory, connective soft tissue and epithelial.",151
pannuke_f1_0152,1,Breast,Inflammatory;Epithelial,Emphasize inflammatory and epithelial presence.,152
pannuke_f1_0153,1,Breast,Neoplastic;Inflammatory,Delineate visible neoplastic and inflammatory regions.,153
pannuke_f1_0154,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Extract all neoplastic, inflammatory and connective soft tissue areas.",154
pannuke_f1_0155,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Given this Breast sample, mark neoplastic, inflammatory and connective soft tissue regions.",155
pannuke_f1_0156,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Highlight visible neoplastic, inflammatory and connective soft tissue tissue.",156
pannuke_f1_0157,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Segment neoplastic, inflammatory and connective soft tissue in relation to stroma.",157
pannuke_f1_0158,1,Breast,Inflammatory;Connective_Soft_tissue,Pay attention to inflammatory and connective soft tissue areas.,158
pannuke_f1_0159,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"For this Breast biopsy, segment inflammatory, connective soft tissue and epithelial areas.",159
pannuke_f1_0160,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Segment the inflammatory, connective soft tissue and epithelial spread.",160
pannuke_f1_0161,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Target inflammatory, connective soft tissue and epithelial in this image.",161
pannuke_f1_0162,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Mark present inflammatory, connective soft tissue and epithelial regions.",162
pannuke_f1_0163,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Segment all inflammatory, connective soft tissue and epithelial cells.",163
pannuke_f1_0164,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Mark all inflammatory, connective soft tissue and epithelial tissue.",164
pannuke_f1_0165,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Inspect this Breast sample for inflammatory, connective soft tissue and epithelial.",165
pannuke_f1_0166,1,Breast,Connective_Soft_tissue;Epithelial,"Examining this slide, mark all connective soft tissue and epithelial regions.",166
pannuke_f1_0167,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Label inflammatory, connective soft tissue and epithelial cells.",167
pannuke_f1_0168,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Segment margins of inflammatory, connective soft tissue and epithelial.",168
pannuke_f1_0169,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Recognize the inflammatory, connective soft tissue and epithelial tissue.",169
pannuke_f1_0170,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Please show inflammatory, connective soft tissue and epithelial regions.",170
pannuke_f1_0171,1,Breast,Connective_Soft_tissue;Epithelial,"For this Breast sample, mark connective soft tissue and epithelial.",171
pannuke_f1_0172,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Identify all neoplastic, inflammatory and connective soft tissue cells.",172
pannuke_f1_0173,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Discern neoplastic, inflammatory and connective soft tissue cells.",173
pannuke_f1_0174,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Analyze this Breast and segment inflammatory, connective soft tissue and epithelial.",174
pannuke_f1_0175,1,Breast,Connective_Soft_tissue;Epithelial,Consider only connective soft tissue and epithelial areas.,175
pannuke_f1_0176,1,Breast,Connective_Soft_tissue;Epithelial,Segmentation target: connective soft tissue and epithelial.,176
pannuke_f1_0177,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"inflammatory, connective soft tissue and epithelial is visible. Segment the regions.",177
pannuke_f1_0178,1,Breast,Inflammatory;Connective_Soft_tissue;Dead;Epithelial,"Recognize inflammatory, connective soft tissue, dead and epithelial cells.",178
pannuke_f1_0179,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Segment inflammatory, connective soft tissue and epithelial diagnostic regions.",179
pannuke_f1_0180,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Identify visible neoplastic, inflammatory and connective soft tissue structures.",180
pannuke_f1_0181,1,Breast,Neoplastic;Connective_Soft_tissue,Segment neoplastic and connective soft tissue to enable cell counting.,181
pannuke_f1_0182,1,Breast,Neoplastic;Connective_Soft_tissue,Mark visible neoplastic and connective soft tissue.,182
pannuke_f1_0183,1,Breast,Connective_Soft_tissue,Assignment: segment connective soft tissue tissue.,183
pannuke_f1_0184,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Segment inflammatory, connective soft tissue and epithelial diagnostic regions.",184
pannuke_f1_0185,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Mark inflammatory, connective soft tissue and epithelial lesion areas.",185
pannuke_f1_0186,1,Breast,Connective_Soft_tissue;Epithelial,The objective is to mark connective soft tissue and epithelial.,186
pannuke_f1_0187,1,Breast,Connective_Soft_tissue;Epithelial,Highlight connective soft tissue and epithelial in this Breast slide.,187
pannuke_f1_0188,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Segment inflammatory, connective soft tissue and epithelial for feature extraction.",188
pannuke_f1_0189,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Recognize the inflammatory, connective soft tissue and epithelial tissue.",189
pannuke_f1_0190,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Locate and segment inflammatory, connective soft tissue and epithelial.",190
pannuke_f1_0191,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Mark foci of inflammatory, connective soft tissue and epithelial activity.",191
pannuke_f1_0192,1,Breast,Epithelial,Identify epithelial components.,192
pannuke_f1_0193,1,Breast,Epithelial,"Examining this slide, mark all epithelial regions.",193
pannuke_f1_0194,1,Breast,Neoplastic;Connective_Soft_tissue,Discern the neoplastic and connective soft tissue regions.,194
pannuke_f1_0195,1,Breast,Neoplastic;Connective_Soft_tissue,"Given this Breast sample, mark neoplastic and connective soft tissue regions.",195
pannuke_f1_0196,1,Breast,Neoplastic;Connective_Soft_tissue,"Examining this slide, mark all neoplastic and connective soft tissue regions.",196
pannuke_f1_0197,1,Breast,Neoplastic;Connective_Soft_tissue,Point out all neoplastic and connective soft tissue.,197
pannuke_f1_0198,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue;Epithelial,"Where is the neoplastic, inflammatory, connective soft tissue and epithelial in this image?",198
pannuke_f1_0199,1,Breast,Neoplastic;Connective_Soft_tissue,Recognize neoplastic and connective soft tissue in Breast pathology.,199
pannuke_f1_0200,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Determine inflammatory, connective soft tissue and epithelial presence.",200
pannuke_f1_0201,1,Breast,Connective_Soft_tissue;Epithelial,Highlight visible connective soft tissue and epithelial tissue.,201
pannuke_f1_0202,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Detect all inflammatory, connective soft tissue and epithelial cells.",202
pannuke_f1_0203,1,Breast,Inflammatory;Connective_Soft_tissue,What regions contain inflammatory and connective soft tissue?,203
pannuke_f1_0204,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Detect the inflammatory, connective soft tissue and epithelial regions.",204
pannuke_f1_0205,1,Breast,Connective_Soft_tissue;Epithelial,Mark connective soft tissue and epithelial tissue architecture.,205
pannuke_f1_0206,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Segment all inflammatory, connective soft tissue and epithelial areas.",206
pannuke_f1_0207,1,Breast,Connective_Soft_tissue;Epithelial,Indicate where connective soft tissue and epithelial is present.,207
pannuke_f1_0208,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Segment any inflammatory, connective soft tissue and epithelial present.",208
pannuke_f1_0209,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Segment each inflammatory, connective soft tissue and epithelial region.",209
pannuke_f1_0210,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Segment intratumoral inflammatory, connective soft tissue and epithelial.",210
pannuke_f1_0211,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Note inflammatory, connective soft tissue and epithelial presence in Breast tissue.",211
pannuke_f1_0212,1,Breast,Connective_Soft_tissue;Epithelial,Point out visible connective soft tissue and epithelial.,212
pannuke_f1_0213,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Delineate inflammatory, connective soft tissue and epithelial for pattern recognition.",213
